Code_postal,Nom_commune,Zonage
1400,L'Abergement-Clémenciat,2_ZAC
1640,L'Abergement-de-Varey,2_ZAC
1500,Ambérieu-en-Bugey,2_ZAC
1330,Ambérieux-en-Dombes,2_ZAC
1300,Ambléon,2_ZAC
1500,Ambronay,2_ZAC
1500,Ambutrix,2_ZAC
1300,Andert-et-Condon,2_ZAC
1350,Anglefort,1_ZIP
1100,Apremont,1_ZIP
1110,Aranc,1_ZIP
1230,Arandas,2_ZAC
1100,Arbent,1_ZIP
1300,Arboys en Bugey,2_ZAC
1300,Arboys en Bugey,2_ZAC
1190,Arbigny,1_ZIP
1230,Argis,1_ZIP
1510,Armix,1_ZIP
1480,Ars-sur-Formans,2_ZAC
1510,Artemare,2_ZAC
1570,Asnières-sur-Saône,1_ZIP
1340,Attignat,1_ZIP
1380,Bâgé-Dommartin,2_ZAC
1380,Bâgé-Dommartin,2_ZAC
1380,Bâgé-le-Châtel,2_ZAC
1360,Balan,2_ZAC
1990,Baneins,2_ZAC
1270,Beaupont,1_ZIP
1480,Beauregard,2_ZAC
1100,Bellignat,1_ZIP
1360,Béligneux,2_ZAC
1360,Béligneux,2_ZAC
1360,Béligneux,2_ZAC
1360,Béligneux,2_ZAC
1200,Valserhône,1_ZIP
1200,Valserhône,1_ZIP
1200,Valserhône,1_ZIP
1200,Valserhône,1_ZIP
1200,Valserhône,1_ZIP
1300,Belley,2_ZAC
1130,Belleydoux,1_ZIP
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1260,Valromey-sur-Séran,2_ZAC
1470,Bénonces,1_ZIP
1370,Bény,2_ZAC
1340,Béréziat,1_ZIP
1500,Bettant,2_ZAC
1290,Bey,1_ZIP
1700,Beynost,2_ZAC
1200,Billiat,1_ZIP
1330,Birieux,2_ZAC
1290,Biziat,1_ZIP
1150,Blyes,2_ZAC
